layer,level,class,id,metric,value,title
1,landscape,NA,NA,contag,96.89920140226744,1033 1
1,landscape,NA,NA,ed,84.50704225352112,1033 1
1,landscape,NA,NA,shdi,0.03479520226816607,1033 1
1,landscape,NA,NA,contag,24.151331255355966,1033 2
1,landscape,NA,NA,ed,6425.000000000001,1033 2
1,landscape,NA,NA,shdi,1.26801824221829,1033 2
1,landscape,NA,NA,contag,18.36818792999685,1033 3
1,landscape,NA,NA,ed,10175.438596491227,1033 3
1,landscape,NA,NA,shdi,1.4095286515543306,1033 3
1,landscape,NA,NA,contag,78.48765880361597,1033 4
1,landscape,NA,NA,ed,1824.9999999999993,1033 4
1,landscape,NA,NA,shdi,0.34357281256164135,1033 4
1,landscape,NA,NA,contag,90.88362390486729,1033 5
1,landscape,NA,NA,ed,649.9999999999999,1033 5
1,landscape,NA,NA,shdi,0.14959061566556436,1033 5
1,landscape,NA,NA,contag,32.61792598405586,1033 6
1,landscape,NA,NA,ed,6363.636363636363,1033 6
1,landscape,NA,NA,shdi,1.3379999629309507,1033 6
1,landscape,NA,NA,contag,39.40003191821093,1033 7
1,landscape,NA,NA,ed,5936.675461741422,1033 7
1,landscape,NA,NA,shdi,0.9724448476886207,1033 7
1,landscape,NA,NA,contag,19.96378068943464,1033 8
1,landscape,NA,NA,ed,6975.000000000003,1033 8
1,landscape,NA,NA,shdi,1.285910680175977,1033 8
1,landscape,NA,NA,contag,42.163043972027495,1033 9
1,landscape,NA,NA,ed,4300.000000000001,1033 9
1,landscape,NA,NA,shdi,0.9910021350278437,1033 9
1,landscape,NA,NA,contag,34.82695988369685,1033 10
1,landscape,NA,NA,ed,5935.672514619885,1033 10
1,landscape,NA,NA,shdi,1.0439059068078231,1033 10
1,landscape,NA,NA,contag,36.29007907454999,1033 11
1,landscape,NA,NA,ed,5816.618911174785,1033 11
1,landscape,NA,NA,shdi,1.0964918197019522,1033 11
1,landscape,NA,NA,contag,27.218120589154115,1033 12
1,landscape,NA,NA,ed,5529.715762273901,1033 12
1,landscape,NA,NA,shdi,0.9020234075484904,1033 12
1,landscape,NA,NA,contag,NA,1034 1
1,landscape,NA,NA,ed,NA,1034 1
1,landscape,NA,NA,shdi,NA,1034 1
1,landscape,NA,NA,contag,28.437672819648952,1034 2
1,landscape,NA,NA,ed,7775.000000000001,1034 2
1,landscape,NA,NA,shdi,1.2908887508991247,1034 2
1,landscape,NA,NA,contag,NA,1034 3
1,landscape,NA,NA,ed,NA,1034 3
1,landscape,NA,NA,shdi,NA,1034 3
1,landscape,NA,NA,contag,NA,1034 4
1,landscape,NA,NA,ed,0,1034 4
1,landscape,NA,NA,shdi,0,1034 4
1,landscape,NA,NA,contag,30.78216868165716,1034 5
1,landscape,NA,NA,ed,5974.999999999999,1034 5
1,landscape,NA,NA,shdi,1.099525640017038,1034 5
1,landscape,NA,NA,contag,38.53279191066517,1034 6
1,landscape,NA,NA,ed,5613.382899628255,1034 6
1,landscape,NA,NA,shdi,1.0569282509487223,1034 6
1,landscape,NA,NA,contag,NA,1034 7
1,landscape,NA,NA,ed,NA,1034 7
1,landscape,NA,NA,shdi,NA,1034 7
1,landscape,NA,NA,contag,25.17484984870021,1034 8
1,landscape,NA,NA,ed,6875.000000000002,1034 8
1,landscape,NA,NA,shdi,1.1926129302462403,1034 8
1,landscape,NA,NA,contag,NA,1034 9
1,landscape,NA,NA,ed,NA,1034 9
1,landscape,NA,NA,shdi,NA,1034 9
1,landscape,NA,NA,contag,NA,1034 10
1,landscape,NA,NA,ed,NA,1034 10
1,landscape,NA,NA,shdi,NA,1034 10
1,landscape,NA,NA,contag,30.808614455053828,1034 11
