title,area_max_building_height_m,area_avg_building_height_m,area_total_building_area_m2,max_tree_height,canopy_cover,area_max_tree_height,area_avg_tree_height,area_canopy_cover,area_tree_count,area_greenspace_m2,area_private_gardens_m2
373 7,11.8,5.69,2185,19.24,144.19,19.79,10.82,5961,72,213.066269499948,5282.9839123537
373 8,12.7,4.91,3776,0,0,15.86,7.4,3078.8,82,1159.90712672565,3316.11026434191
373 9,9.8,4.72,6333,4.42,19.81,17.01,7.37,2470.8,85,845.821360670845,4331.68596677856
374 1,9.6,5.26,3761,7.65,94.5,20.68,11.1,6705.3,80,213.066269499948,5080.83792937093
374 10,8.6,5.27,11671,10.63,40.31,20.68,7.39,2557.9,73,0,9902.39704119177
374 11,9.5,4.84,13092,5.42,40.94,14.8,6.76,2534.2,91,0,5889.35543812014
374 12,8.2,4.15,6578,5.72,42.12,16.58,6.61,3461.5,124,0,11689.4085100981
374 2,8.6,4.57,4899,15.37,88.19,20.68,8.17,6155.4,119,0,12402.1373747123
374 3,9.1,4.75,8082,14.23,139.31,17.67,6.47,3126.2,114,0,20869.7954324847
374 4,9.5,5.33,15934,13.78,174,14.8,6.95,1713.2,57,0,5612.76970666857
374 5,8.1,4.23,8030,0,0,16.03,6.44,3201.9,109,0,7049.37871367915
374 6,8.3,3.87,11416,11.33,180.75,15.86,5.57,2978,115,0,18812.8326897941
374 7,9.7,6.06,7660,0,0,20.18,7.95,2227,60,0,14311.7162581237
374 8,9.7,5.46,13362,0,0,14.25,7.16,1875,50,0,10035.6911078185
374 9,9.7,6.95,7752,0,0,20.18,9.48,2079.5,48,0,7588.16170724992
375 1,11.6,5.12,6163,6.75,13.38,20.18,8.68,6384.8,129,702.576561255264,3496.70191596054
375 10,11.6,4.78,6635,3.45,2.69,18.3,8.16,4842.7,100,1280.88724561856,6185.14522343325
375 11,9.1,3.71,8776,8.140000000000002,128.81,18.34,6.48,4734.7,147,0,20230.9940712088
375 12,8.5,3.98,9558,4.14,20.56,17.38,7.06,5332.5,134,0,20610.093174458
375 2,9.1,4.87,8994,20.83,323.44,20.83,7.08,7412.5,208,0,22600.4623075477
375 3,9.1,4.44,8745,4.51,0,20.28,6.86,7248.3,186,0,24130.3113997561
375 4,9.1,4.58,8788,18.36,101.88,20.9,6.76,6033.8,187,0,22530.5743390945
375 5,9.2,4.34,6025,15.92,181.19,22.78,8.31,6888.7,124,822.3943455423,13195.2876148266
375 6,9.9,5.16,9119,12.43,174.56,20.83,6.91,7116.9,204,0,23138.4897714904
375 7,5.9,3.89,6022,14.83,137.31,17.67,9.06,7750.4,156,3074.73197467615,20081.2055352544
375 8,8.7,4.97,5409,9.05,108.62,20.9,9.83,9281.8,154,2405.27556814322,15557.3726973648
375 9,9.2,6.06,6380,19.1,126.81,20.18,9.03,6579.2,118,0,8342.72580220032
376 1,9,3.82,7102,7.78,96.75,27.83,7.86,8102.7,189,0,23807.6334689819
376 10,9.9,4.53,8418,16.04,241.56,21.19,7.89,7956.6,175,0,22141.3040390913
376 11,9.9,4.38,9057,10.46,17.56,17.69,6.94,6601.3,156,0,23305.6126304164
376 12,9.7,3.8,5315,24.63,200.06,27.69,11.94,10600.6,126,0,8985.97104344475
