title,area_max_building_height_m,area_avg_building_height_m,area_total_building_area_m2,max_tree_height,canopy_cover,area_max_tree_height,area_avg_tree_height,area_canopy_cover,area_tree_count,area_greenspace_m2,area_private_gardens_m2
1000 1,9.3,3.71,3747,0,0,20.27,8.27,3985.3,87,2071.81014452968,19.3999109999859
1000 10,8.5,5.34,12736,3.03,38.19,17.32,7.1,3665,101,1102.15458454879,1588.20212619306
1000 11,15.4,4.19,6632,7.65,136.75,14.3,6.2,2075.3,65,0,3113.88221613239
1000 12,7.7,4.47,7183,2.3,9.25,16.61,7.45,2424.9,78,0,9484.48078003417
1000 2,6.7,4.19,5653,0,0,14.41,7.02,962.8,39,0,11994.6270938861
1000 3,10.6,5.21,5306,0,0,14.2,8,1381.8,32,731.647869314096,0
1000 4,8.1,3.94,4025,0,0,7.98,4.47,894.7,41,0,330.990561274783
1000 5,10.8,5.22,11217,9.16,20.88,28.73,9.03,2469.2,77,0,6680.32410287499
1000 6,12.2,4.36,20124,0,0,16.21,7.61,4184.9,87,3892.73703929799,2405.26730301981
1000 7,10.6,3.89,6273,0,0,20.27,10.47,5658.1,97,4167.79760042675,0
1000 8,19.6,5.44,2656,0,0,9.13,5.51,1126.6,43,0,37.6518859998323
1000 9,8.1,4.83,9824,14.55,39,15.94,6.43,1798.4,65,0,15026.6850772801
1001 1,7.8,5.07,6254,0,0,19.73,9.39,4370.7,130,0,8640.45137153825
1001 10,8.6,4.94,9044,19.31,138.06,21.2,8.99,4615.1,113,0,10646.3087339549
1001 11,7.3,4.55,6675,4.41,6.69,18.14,5.38,1926.9,94,72.9855322026997,15845.969740249
1001 12,6.5,4.01,8501,15.42,209.69,15.42,4.67,1996.8,98,0,21587.4291585403
1001 2,6.6,4.57,8997,10.64,56.38,19.01,7.34,2775.4,103,0,15479.4285690797
1001 3,8.4,4.44,9318,16.47,52.19,19.46,8.92,3463,108,1284.3998499969,7267.28894438281
1001 4,7.6,4.11,9492,27.09,124.06,27.09,7.19,2446,94,0,18489.4245458482
1001 5,7.8,5.12,9361,14.44,92.19,19.73,10.72,5659.8,146,940.322037147038,5052.32730988077
1001 6,7.8,4.14,5559,0,0,13.24,5.51,1183.2,48,0,13458.9732054894
1001 7,7.8,4.26,7143,3,18.62,18.83,5.99,2231,98,0,21752.9254413612
1001 8,7.8,4.05,7456,18.83,91.31,27.09,7.03,2382.3,94,0,21564.1270676524
1001 9,6.9,3.76,8832,6.77,9.81,15.87,5.23,2640.2,121,0,25158.1484026911
1002 1,6.6,4.59,2770,0,0,19.7,7.5,4390.2,119,2537.56055051158,7707.58933269647
1002 10,8.6,4.78,9112,19.31,182.25,21.2,8.86,4514.6,118,0,10351.4383857567
1002 11,7.3,4.59,9459,13.25,51.12,21.2,7.89,3533,109,0,12963.1183365812
1002 12,11.5,4.71,3687,0,0,16.54,8.14,1399.4,38,0,4362.48409910014
1002 2,6.1,3.57,1498,0,0,20.88,9.27,3108.6,83,0,3302.25784713092
1002 3,9.8,3.91,9308,17.26,85.06,18.7,7.78,4201,107,0,11424.9330426051
1002 4,10.4,5.17,5865,15,239.19,19.7,7.87,2718.8,84,1525.22330450686,10302.1402909374
1002 5,7.2,3.6,6862,7.6,14.12,14.73,5.68,3329.4,120,797.032610794064,8863.72930693635
1002 6,9.8,4.16,8794,13.32,131.5,18.7,7.74,3424.9,84,0,14648.8731712051
1002 7,10.4,4.21,7404,10.86,91.5,13.13,6.91,3021.8,95,0,8638.9998812684
1002 8,7.2,4.33,9402,0,0,18.88,7.12,2896,93,0,17870.7184478706
1002 9,7.7,4.73,5116,15.36,14.56,16.26,7.01,3383.5,90,0,7889.77901773327
1003 1,5.7,4.75,2722,14.05,330.38,15.42,6.19,10838.6,228,15492.2630190966,7895.74311880085
1003 10,6.9,4.66,4498,0,0,15.66,6.98,3652.9,118,1948.8959168572,12359.4726615939
1003 11,6.6,3.93,4923,6.83,78.12,12.21,5.95,2557.5,75,0,10118.1373184942
1003 3,5.2,3.76,390,6.19,64.19,16.48,7.28,10544.7,173,10427.6279289029,5641.0555667313
1003 4,5.8,4.52,2106,12.84,400,16.48,6.94,14593.5,245,15070.4561590343,7921.1415215291
1003 5,6.2,4.76,2870,24.74,137.75,26,11.58,6241.5,113,864.36005212777,5485.61051953065
1003 6,6.7,4.21,3643,8.65,209.62,27.32,7.82,10676.1,191,8417.26277999003,15988.6770845489
1003 7,6.9,4.68,6405,4.57,54.62,19.7,6.99,3675.6,113,1525.22330450686,18103.7906817172
1003 8,6.4,4.53,4191,7.36,33,19.91,7.72,2586.2,73,0,11151.4435826182
1004 10,6.8,3.85,9216,7.17,76,20.1,5.79,3616.6,115,1188.20434112211,20761.4898316048
1004 12,5.9,3.09,4424,6.85,14.12,27.32,11.07,9443.4,163,9333.93491294072,8914.03421874188
1004 2,5.3,3.42,1935,10.63,61.69,27.48,11.79,25731,397,24347.3999593821,5910.97617722844
1004 5,5.7,3.89,833,0,0,17.98,8.21,6029.1,139,821.375498443045,3501.41279114792
1004 6,6.4,3.72,1629,17.5,100.31,22.66,10.04,15481,272,10889.8702833723,7641.9191082588
1004 7,5.8,4.22,335,9.32,46.31,27.32,10.07,17987.1,244,15184.3576315312,4498.53521736246
1004 8,6.4,3.8,2639,14.95,381.25,18.13,9.36,9803.2,218,6878.87874399184,10510.8786402752
1004 9,6.1,2.99,1509,13.88,214.69,27.48,14.04,20501.7,318,20551.2772678045,4446.58881263079
1005 1,6.4,3.55,1124,0,0,18.13,8.95,10617.3,233,6190.14405157301,5065.13082486901
1005 10,6.5,3.32,810,9.48,54.69,23.75,11.72,16093.8,260,6602.07628778732,0
1005 11,6.5,3.08,757,13.85,72.56,23.75,9.82,6819.3,123,4231.8050811523,0
1005 2,6.9,4.33,138,20.53,391.5,26.79,15.14,26285.1,381,23589.6248186955,1143.45749775681
1005 3,2.3,2.3,19,22.54,325.81,38.5,14.05,20676.6,351,8132.56990076571,80.9086073291546
1005 4,5.4,3.73,1257,8.53,73.81,18.13,8.99,9870.9,210,8654.52013496245,6653.80110224908
1005 5,6.5,3.33,493,18.08,372.38,22,13.46,22078.1,299,3789.09764520102,0
1005 6,2.5,2.04,181,19.15,400,38.5,15.37,31193.3,426,27707.6052829094,1248.16310198427
1005 7,5.2,3.54,554,6.04,66.62,18.39,8.67,10549,217,5092.90540492919,3092.20171446391
1005 8,6.2,2.9,219,15.3,56.81,24.07,13.83,19873.6,277,1759.93650485942,0
1005 9,7.7,4.66,961,13.51,247.62,26.79,15.67,27406.3,406,22763.2794268872,3612.44007261925
1006 1,7.7,4.53,3239,23.61,212.81,26.79,14.79,16088.3,276,16116.5270848066,10065.4602833309
1006 10,6.6,4.46,7559,3.83,29.31,27.23,6.78,3825.9,128,0,22104.5146748322
1006 11,7.7,4.16,3687,18.29,197.19,24.65,15.19,18136.3,280,17607.3406111597,10350.483017101
1006 12,6.8,4.5,7819,23.69,372.06,23.69,8.11,6209.5,140,7074.98899237719,18670.7268636272
1006 2,6.9,5.05,906,14.57,195.44,26.79,14.16,21386.8,344,22247.6001260208,3380.06922750075
1006 3,7.2,4.66,2486,23.94,215.62,23.94,11.13,16955.3,286,23692.522567309,8636.86506959053
1006 4,7.1,4.54,5521,15.57,124.56,23.69,10.23,13042.5,206,13900.5082904548,16402.0042221012
1006 5,8.9,4.82,8590,11.88,182.81,24.1,9.65,2794,78,228.776773739912,18093.8825714924
1006 6,8.8,4.53,5075,21.53,101.38,29.04,15.45,13332.8,226,8787.59061703179,12178.2156634514
1006 7,7.4,4.57,2986,16.11,383,23.87,11.01,16231.7,228,24436.0254529633,10105.4868882036
1006 8,8.5,4.51,7871,12.87,160.12,18.39,6.13,2687.3,92,0,21671.0384548454
1006 9,6.8,4.19,6906,15.41,379.69,24.77,10.55,9636.1,181,5833.33957434352,20737.9469762418
1007 1,6.6,4.62,7918,7.47,113.56,23.69,7.7,5389.9,137,5617.6590715904,19409.7345401119
1007 10,5.9,4,4107,0,0,24.19,10.29,5308.5,104,2707.09539900742,7610.75209120663
1007 11,6.9,4.2,7538,6.15,62.44,16.97,4.96,1431.8,71,0,18368.5965230915
1007 2,6.8,3.99,4144,18.26,394.88,24.19,10.38,5007.3,98,2948.38739549904,6714.722079691
1007 3,6.4,4.24,8157,4.75,27.31,16.97,5.28,1900.1,82,0,21132.3393738232
1007 4,6.3,4.2,5806,6.48,83.5,13.69,5.71,4074.9,138,2416.89584649634,16386.3871280902
1007 5,6.6,4.33,8990,6.45,23.81,27.23,7.74,3234.5,90,0,13038.0398171467
1007 6,6.5,4.27,6854,7.4,38.88,14.49,6.49,3096.1,97,714.50875175203,12808.7919017676
1007 7,5.9,3.76,8098,0,0,18.55,6.72,2199.4,58,0,6890.55559621244
1007 8,6.4,3.8,6444,8.720000000000002,80.38,13.69,6.23,4110.2,119,1587.74110829686,8874.37702554924
1007 9,6.3,3.94,6720,13.69,50.06,13.69,6.01,4405.5,134,2416.89584649634,13365.8704049496
1008 1,16.7,4.38,3645,0,0,16.69,8.15,4654.1,125,2782.26461760179,3868.72165721784
1008 10,5.7,3.93,8419,5.81,30.81,13.85,5.45,3000.2,100,0,22831.8104684021
1008 11,11.7,4.44,16075,0,0,15.91,7.28,2613.9,103,449.711869484396,8767.31542186485
1008 12,18.1,5.58,10907,0,0,25.28,9.09,3695,112,2162.20084162156,5496.37268257722
1008 2,8.2,4.7,11065,0,0,16.45,8.23,5108.2,117,2961.89688822636,1515.42619230798
1008 3,16.2,6.04,14433,0,0,15.12,7.5,1651.1,50,995.241219110758,834.639622563576
1008 4,6,4.21,8473,4.230000000000002,35.81,15.96,7.02,4834.4,136,4984.37352689473,10761.6986290462
1008 5,18.1,4.71,9781,25.28,91.12,25.28,8.02,4472.6,137,2432.94462368824,13941.9592736368
1008 6,8.8,4.99,6761,0,0,14.4,5.37,980.3,51,0,4621.84669146066
1008 7,8.2,4.78,15617,14.56,317.81,15.12,8.45,3823.3,95,3377.09117922709,5457.30316266862
1008 8,18.1,5.21,9229,16.48,265.44,18.27,5.94,2306.4,79,0,15512.445208795
1008 9,18.1,4.94,11714,15.66,332.19,25.28,8.74,4249.2,127,3015.12178095342,11572.9000444667
1009 1,6.7,4.34,6572,3.37,86,22.09,6.7,4805.8,144,1965.73409965142,13982.5684030061
1009 10,15.8,5.77,5808,16.69,351.62,16.69,7.26,2975.7,81,1864.6468344985,7294.31616426978
1009 11,15,4.92,8291,21.01,225,22.85,13.35,8884.1,147,4388.62589009573,8077.46790668945
1009 12,8.1,4.5,9548,10.15,189.56,17.37,6.32,3816.4,147,921.6818806394,19680.5449509272
1009 2,6.7,4.38,6534,19.43,260.5,26.74,12.33,12992.5,204,8040.0755656691,11991.9612850737
1009 3,9,4.46,7255,16.32,176,26.74,13.93,13008.4,197,7619.63161040201,8209.79173811398
1009 4,15.8,5.99,11340,0,0,22.85,10.4,1195.8,41,5.69688308074547,8203.52172032968
1009 5,22.5,4.9,5241,21.49,346.25,26.74,13.28,12717.1,234,7763.26645963992,9342.00492933388
1009 6,16.7,4.84,10045,11.83,227.06,16.99,9.34,3432.8,68,0,4949.2024662736
1009 7,10,4.4,11759,9.98,1.69,25.61,10.26,5292.4,123,178.671247926075,1433.51298605759
1009 8,15,4.99,7730,8.94,18.69,22.85,12.86,8161.5,141,3627.97780846054,8322.44591574386
1009 9,8.6,4.83,8274,6.56,19.12,22.09,6.79,3020.7,107,0,14197.4647004792
1010 1,8.8,4.21,2944,17.91,400,22.24,10.3,12628.4,289,12761.9130699692,10172.2655168168
1010 10,8.9,4.65,7536,17.71,241.25,19.64,8.18,6329.4,173,0,20788.933229722
1010 11,8.8,4.09,3782,14.73,113.31,17.91,9.1,13173.6,325,12205.7060061999,13358.7187747283
1010 12,8.8,4.48,5208,14.61,220.5,17.91,8.27,7496.3,200,4848.54039406481,8840.56110665179
1010 2,8.6,4.83,4028,0,0,19.85,8.36,5578.1,142,1970.40750655322,7399.4565029338
1010 3,8,4.44,2830,21.31,246,24.48,12.55,8535.7,177,11046.3240877109,9173.14795361223
1010 4,8.9,4.59,5429,10.63,139.81,19.64,9.1,5740.1,127,1354.2623383326,10150.6530929116
1010 5,9.3,5.77,3311,20.16,188.12,24.63,10.49,8377.8,218,5894.073709198,12346.9135394162
1010 6,10.3,5.09,5575,0,0,19.77,9.34,5828.5,133,1411.26975000184,4258.42285524888
1010 7,8.7,4.37,8353,3.64,15.56,19.33,6.82,3709,146,0,19612.8792772887
1010 8,9,5.41,3344,20.09,113.31,25.62,8.71,10572.9,224,2451.36635892972,14582.0881169517
1010 9,10.2,2.89,1390,15.1,19,25.62,9.29,11256.3,250,2459.5673342454,10204.1656735681
1011 1,4.6,4.6,53,20.06,400,20.06,9.34,8946.9,182,8519.90727592129,156.854574901285
1011 10,17,6.12,11130,12.06,291.5,14.14,7.14,6852.1,136,8066.04928466081,0
1011 11,3.9,3.9,289,7.07,17.5,16.8,8.26,5615.4,164,688.018170597905,0
1011 12,6,2.08,289,20.89,28.5,21.39,9.3,8027.3,202,6960.916953704,1615.84070652719
1011 3,2.2,2.2,22,0,0,12.23,6.49,3126.3,72,4113.70080940376,0
1011 4,17,5.43,6225,0,0,17.28,7.88,2084.1,80,3007.18840357343,24.7850337495911
1011 7,6.2,4.8,307,7.04,193.69,25.16,11.74,6865.5,193,5531.10162894789,757.186591816819
1011 8,17.1,5.32,3980,19.82,5.25,25.16,13.44,8349.2,204,6922.51271357968,10260.6688527774
1011 9,4.4,4.15,319,14.17,89.81,19.52,9.96,6061.8,164,1977.87100440037,0
1012 1,6.9,4.12,638,20.89,49.62,24.15,13.06,8189,179,4112.2225075562,1115.5781518607
1012 11,3.1,3.1,293,11.08,11.38,16.92,8.38,3662.6,99,1325.00948985004,0
1012 2,6.9,4.28,1065,0,0,24.15,11.4,10881.4,227,6317.0769326425,5586.78463449286
1012 3,5.5,4.74,390,9.99,105.75,19.18,8.5,10117.7,207,10903.8994841598,1082.4460320894
1012 4,10.5,4.98,1085,20.76,400,21.17,13.12,16524.5,213,14224.079101832,0
1012 5,5.2,3.4,12,14.22,155.44,24.72,9.54,11157.7,228,2293.89410726643,387.699323281437
1012 7,3.1,2.05,71,11.25,114.5,18.04,8.16,8092,201,6997.02535889464,0
1013 1,4,1.99,123,11.38,16,22.44,8.96,7515.6,196,1467.62502578594,0
1013 10,7.5,3.79,2256,11.99,282.12,24.83,10.15,9447.1,221,9801.49448345644,3763.69604542774
1013 11,5.6,3.66,1214,12.75,70.06,16.84,6.49,6080.4,175,124.263303310305,2412.61812264872
1013 12,5.7,4.51,2777,2.14,2.38,21.56,7.71,6664.8,169,1749.90092073138,5890.12782091904
1013 3,4,2.05,296,7.82,14.19,22.44,9.92,9111.8,216,7504.77322929697,260.546224166057
1013 4,9.8,4.75,7704,18.05,51.31,19.23,8.91,4955.6,120,1370.79893599935,13539.5292722316
1013 5,6.8,3.22,1512,5.56,34.88,18.78,7.68,6075.9,166,2772.51272369409,2118.38425320548
1013 6,7.3,4.43,5914,7.1,30.81,16.62,5.54,1998.1,114,0,10265.5529327978
1013 9,5.6,4.35,1134,14.07,28.38,19.25,8.64,10535.6,226,2004.221168964,2629.08281054858
1014 1,9,4.29,315,0,0,23.32,9.68,5756.6,167,517.415000003413,1102.25444403419
1014 10,6.9,3.31,7495,6.08,78.31,14.99,5.46,1595,84,0,12128.2350990178
1014 11,10.4,3.86,5698,13.38,93.62,21.2,8.72,4920.4,175,0,13248.2308832407
1014 12,6.9,4.34,9531,8.29,58.44,12.9,5.35,1985.8,125,0,20261.2922121793
1014 2,6.3,3.8,3221,0,0,24.53,6.43,2440.2,100,0,6916.93046743541
1014 3,6,4.16,6827,0,0,14.89,5.2,1276.8,68,0,9197.40397106665
1014 4,6,3.94,5969,0,0,14.35,5.91,3242.5,110,0,12461.2220328463
1014 5,8.2,4.3,3068,0,0,25.06,9.04,2447.9,97,0,5622.55889294953
1014 6,9,3,2314,11.1,74.62,23.32,10.46,6390.9,212,517.415000003413,3217.81405458483
1014 7,8.2,4.14,3220,0,0,25.06,8.21,1633,65,0,4902.71683951911
1014 8,6.4,3.68,3917,0,0,21.33,5.61,3312.7,124,0,9072.44106802669
1014 9,6.2,2.62,5851,2.6,14.69,16.88,5.73,1683.3,81,0,13430.8897175873
1015 1,4.9,2.45,630,12.34,130.88,23.32,9.35,3876.2,132,61.264937312546,0
1015 10,5.7,3.89,4409,11.04,58.12,14.41,5.52,2444.9,108,0,12751.7604383731
1015 11,8,3.98,1667,7.62,131.69,23.32,7.73,3849.6,127,0,2496.17330740408
1015 12,6.3,3.79,7646,3.8,13.62,16.97,6.27,3150.2,132,0,27099.4844464327
1015 2,6.8,4.12,6933,8.99,35.88,16.86,6.58,3669.8,158,0,17409.3619835809
1015 3,9.4,5.11,5614,7,37.5,15.34,7.5,3028.8,83,0,4789.30657548404
1015 4,9.4,5.55,2793,0,0,25.06,10.55,2639.1,70,0,4636.17144777839
1015 5,10.4,3.74,5662,16.54,49.56,21.2,8.94,5306.5,194,107.37518121524,14450.8264019519
1015 6,5.5,3.85,2888,0,0,23.32,8.07,4234.6,162,0,8364.03641740632
1015 7,9,5.34,3650,0,0,25.06,8.49,3371.8,93,0,4001.50218154446
1015 8,6.3,3.32,8079,14.21,103.06,16.97,6.28,3546.6,135,0,24532.0205177305
1015 9,5.7,3.9,7098,9.98,11.62,16.54,6.39,2962,156,0,23141.400083023
1016 1,6.2,2.99,6912,0,0,15.43,6.39,2417.6,109,0,16760.9219553602
1016 10,7.2,3.25,6238,13.45,333.81,17.78,7.09,7248.9,199,1862.43073845259,16904.0653440744
1016 11,6.2,3.56,6640,5.09,26,16.75,7.06,5007.7,147,1283.06999210262,17469.7193555759
1016 12,6.5,3.38,6255,15.68,237.31,21.81,9.22,6193.3,176,0,15758.3089056443
1016 2,7.2,3.2,6570,17.78,175.56,18.89,8.02,7128,184,0,17776.8913475404
1016 3,6.8,3.73,2647,18.5,35.44,21.34,7.67,4218.4,99,0,8028.45229106168
1016 4,7.6,3.92,7276,11.46,66.62,18.82,6.51,3555.1,152,0,16834.9909344989
1016 5,5.7,3.6,930,0,0,17.66,6.82,5732.5,164,3768.48863026797,2613.89842429624
1016 6,6.8,2.92,4820,0,0,18.5,6.23,1646.1,67,0,10380.7007648163
1016 7,6.8,3.62,6605,15.08,74.75,15.08,6.33,3168.2,116,0,17792.1020005239
1016 8,7.6,4.29,7286,7.95,140.19,18.82,6.35,4155.7,174,0,18369.6788424553
1016 9,6.8,3.5,8706,10.87,49.56,12.06,5.27,1616.7,101,0,22820.8619718848
1017 1,3.5,3.12,6515,0,0,22.35,11.74,10043.1,189,8376.10733673477,0
1017 10,2.3,2.2,30,0,0,14.78,8.12,5122.3,104,7193.36556441063,143.25584746548
1017 11,5.1,3.09,345,17.24,400,18.73,10.16,15122,235,14027.1723415345,1076.10560901609
1017 2,3,2.45,42,17.04,102,22,11.51,11083.7,204,5101.88692576558,379.027899377921
1017 3,5.6,3.06,8284,6.74,17,20.44,5.86,2982,149,475.985054933466,22120.3131272659
1017 4,5.5,2.94,3888,0,0,17.24,7.98,11245.4,230,10067.8133083585,9882.59309110394
1017 6,2.5,2.03,54,6.73,11.19,17.66,9.05,3433,96,2340.01335264207,0
1017 9,5.2,3.18,1138,8.27,10,18.4,7.86,9162.1,170,12733.4192273159,2514.22716959143
1018 11,3.4,3.4,0,18.28,319.25,24.51,13.52,15982.6,281,12636.769057902,500.152479613665
1018 12,4.7,3.45,1902,19.96,398.06,26.95,13.64,9229.8,161,5245.68050365513,0
1018 2,12.8,3.21,798,26.95,400,30.34,15.92,17294.2,301,9899.34550896638,0
1018 3,3.7,3.7,86,18.21,400,22.39,12.54,13050.9,169,14597.1146648273,0
1018 4,6.5,4.03,2620,16.59,208.25,16.92,9.74,4409.4,94,980.58172145451,5957.45248919994
1018 5,4.7,3.23,553,20.28,340,26.95,14.24,10044.1,176,6485.94209513313,437.711449999944
1018 8,6.2,2.63,1963,20.19,256.38,30.34,16.48,15703.7,204,10456.1068958721,547.653044502516
1018 9,6.8,3.24,2845,0,0,22.48,13.3,8303.9,146,2698.95496239276,1695.08995750224
1019 10,6.5,4.56,1501,14.29,113.81,27.96,17.45,18254,267,13941.3514429201,1702.94977539638
1019 12,6.1,5.34,162,25.7,376.94,29.83,18.7,25693.2,328,23938.8405290743,225.195560467255
1019 2,3.7,1.97,179,26.77,311.81,28.61,16.64,18217.2,284,17691.8294371231,0
1019 5,6.3,4.35,3977,22.51,385.38,34.56,17.51,21551.5,282,19142.1377073731,4963.27460337818
1019 8,5.6,2.87,1500,12.23,32.38,27.96,15.65,14157.1,213,10130.0471249029,1884.18459217949
1020 11,6.4,5.19,587,19.98,318.5,31.27,16.63,24175.8,319,14893.430456077,1267.35122514527
1020 12,7.8,4.04,2168,34.56,400,34.56,16.89,22794.7,275,18699.6467460909,8063.00503762563
1020 3,4.7,4.22,133,19.87,400,31.27,16.16,33693,542,28891.1975219941,463.557376768993
1020 7,7.8,4.07,4508,18.48,174.88,34.56,13.31,17376,246,14002.9247478242,16994.0507339556
1020 8,8.2,4.28,1004,19.18,107.62,29.77,15.93,20253.3,283,12529.7927977589,1858.09847328685
1020 9,15.4,15.4,10,19.71,226.62,23.67,12.72,13657.2,202,6277.93826814287,0
1021 5,6.4,4.99,1849,18.58,366.94,31.27,16.44,25199.8,410,18637.7156765437,4057.68240732055
1021 7,7.1,5.06,1347,22.59,400,23.17,16.12,24586.3,450,18599.5246863994,3701.47657995012
1033 1,8,3.92,4758,0,0,24.09,12.28,7865,172,5552.40184603451,4491.0050396038
1033 10,6.8,3.89,9068,5.71,34.31,14.44,5.26,2635.4,129,0,21792.1726308791
1033 11,7.8,4.49,8564,11.35,53.44,15.87,5.19,2429,120,0,23052.689776768
1033 12,6.4,3.97,8718,3.37,26,21.78,6.21,2453.1,116,143.190940782799,22137.6889305979
1033 2,6.4,4.51,7781,11.92,146.25,23.27,7.98,7461.3,181,7010.03998122515,19009.8808114373
1033 3,7,4.27,5479,21.67,350,22.53,10.22,8176.8,179,7139.32763357706,11264.2973872222
1033 4,8.3,5.12,1861,0,0,24.22,11.09,5318.9,119,5154.56450904347,3023.17159841934
1033 5,8.3,5.53,4909,0,0,15.37,6.51,4207.7,86,2483.47349893965,0
1033 6,7,4.42,7306,18.63,305.31,24.09,10.07,7834,200,4450.13995802493,17126.9085950705
1033 7,6.8,3.52,9047,8.76,22.62,15.87,4.77,2918.6,130,0,23208.0940070405
1033 8,6.3,4.46,4909,15.92,254.62,24.22,9.38,8761.9,192,7142.21620263014,17237.6250257996
1033 9,6.4,3.27,9023,10.51,284.94,14.44,5.19,2562.3,105,0,21498.998906487
1034 1,1.9,1.9,15,0,0,14.03,6.32,5039.3,117,1786.36073273397,0
1034 10,2.5,2.5,130,0,0,13.75,5.92,5287.8,104,9433.0287213698,0
1034 11,7.9,3.81,9539,8.7,99.12,14.3,4.62,1899.6,97,0,21016.2220459015
1034 12,5.8,3.98,9184,8.98,15.62,17.38,5.6,2259.1,97,0,22897.3065609485
1034 2,7.1,4.56,5432,16.53,397.81,21.96,8.42,7835.9,178,5368.82993755557,13052.4520375419
1034 3,6.4,4,1927,0,0,14.81,6.67,5014.9,102,5950.74858821346,4864.49371225175
1034 4,6,3.46,2321,0,0,15.69,6.27,5318.2,119,10939.3553544302,5499.80703004678
1034 5,11,4.34,6384,12.18,165.19,20.9,8.36,4801.4,125,0,14909.482357211
1034 6,7.1,3.68,7020,9,83.25,15.43,5.81,3687,125,701.230704183388,14526.5773928216
1034 7,6.5,4.82,2954,0,0,21.96,7.97,6056.5,135,3714.54773816612,6818.17563858803
1034 8,6.4,4.45,7652,13.54,335.75,16.53,7.65,7878.2,192,7457.68960099148,17945.8775609495
1034 9,6.5,4.28,3755,6.34,29.75,10.96,5.4,2625.7,76,259.437848413014,7026.60785516784
1035 1,8.5,5.45,5672,16.95,93.94,16.95,6.65,4946.2,127,746.260926829185,0
1035 10,9.6,3.58,3323,6.47,0,17.01,6.54,2401.3,62,0,0
1035 11,1.5,1.5,57,5.03,11.38,9.93,5.26,4301.9,99,6676.60295512079,0
1035 12,2.5,2.5,130,0,0,13.75,5.93,5009.3,101,8634.20211902887,0
1035 2,6,2.8,634,0,0,15.69,6.2,6989.4,135,13105.7114987411,1554.34975548714
1035 4,5.7,3.36,1037,0,0,8.07,4.47,1277.8,54,0,0
1035 5,4.8,2.79,357,8.27,51.94,15.42,6.11,8058.5,143,12617.1281389942,931.475557182872
1035 6,9.6,4.55,924,0,0,17.01,6.41,2293.6,56,0,0
1035 8,7.3,5.42,2592,9.15,40.38,9.15,4.85,1753.6,75,0,0
1035 9,7.3,3.39,2237,5.99,67.56,11.99,5.97,1781.4,51,0,0
1036 10,2.6,2.43,89,0,0,12.51,5.21,1363.8,40,0,0
1036 11,5.8,5.8,512,11.12,197,23.98,10.68,11306.1,208,9263.76128497639,0
1036 12,4.8,4.1,238,8.25,347.56,14.92,7.73,5832.6,127,296.331249999581,53.3784392625166
1036 2,7.7,4.21,3703,15.14,111.44,22.36,8.38,3983.9,98,0,0
1036 4,5.8,4.65,539,14.43,7,18.47,10.54,3930.2,89,79.2890060117934,0
1036 5,5.8,5.8,253,14.49,82.81,15.63,10.83,8136.5,156,4905.7114721383,0
1036 6,5.8,3.8,695,2.56,3.31,18.44,10.7,8090.4,140,4950.61856732506,0
1036 7,6.7,4.12,4125,0,0,13.74,6.96,2837.7,87,0,0
1036 8,8.5,6.12,484,7.44,35,28.6,7.84,14769.7,223,1833.43972252111,0
1036 9,2.1,2.1,12,13.08,236.38,23.29,11.28,19986.1,314,19299.4036328991,0
1038 1,9.9,9.9,1107,0,0,17.13,8.3,6970.9,124,6904.69237539574,0
1038 10,9.9,9.9,861,12.12,160.56,17.13,8.49,11586,230,22703.821845315,0
1038 11,7.2,4.03,1341,18.5,253.75,18.5,10.21,12790.1,235,16720.3346059582,2364.1302240493
1038 12,8,4.88,3911,13.76,73.44,16.47,7.67,7019,161,20409.7839283042,10825.8935941482
1038 3,7.2,4.44,2916,15.17,324.69,18.5,10.15,19940.3,345,23119.9586871701,5766.20320558601
1038 4,8,5.58,581,11.61,175.94,18.18,8.51,13157,270,36542.7840044714,1641.5854433302
1038 5,8.6,5.03,2714,0,0,5.75,3.18,27.2,5,0,0
1038 6,9.9,7.53,2788,8.7,82.56,15.13,10.03,11153.2,190,11732.2612301937,0
1038 7,9.9,5.22,1482,0,0,0,0,0,0,0,0
1038 8,8.6,6.73,118,10.89,245.19,15.99,10.16,23079.3,390,33260.8172064053,0
1038 9,7.2,4.34,2899,0,0,21.08,9.45,4538.2,118,2895.63962106348,6195.0400069325
1039 1,7,4.69,6394,5.82,81.81,14.14,6.07,3015.5,91,0,16655.8822428081
1039 10,7.4,4.54,5296,16.09,148.56,20.84,8.58,7582.8,144,3388.67870798014,4803.27911450083
1039 11,7.4,4.5,3787,0,0,21.42,8.04,2660.9,68,3.02560582722072,5487.51180347367
1039 12,7.2,4.65,5586,3.03,5.25,16.49,6.38,2711.9,93,0,13660.830815227
1039 2,8.6,3.64,2627,9.2,20.94,20.84,8.67,6299.1,138,3855.86198892276,4815.41791723092
1039 3,7.4,3.28,1793,0,0,18.26,8.01,2369.8,52,0,3456.81654847982
1039 4,8.7,3.99,7495,15.66,314.56,20.84,7.79,6665.6,144,165.587878097664,8646.73893775673
1039 5,6.8,4.4,5090,6.05,22.06,15.11,4.65,1208.9,75,261.469529735739,9071.31072702228
1039 6,10.1,4.3,6197,7.49,22.12,21.42,7.97,3625.2,89,277.097999998943,8484.08801139721
1039 7,6.8,4.6,7206,15.11,160.94,15.11,6.47,3892.2,122,3933.60670505741,17698.7794987516
